dr7objid,ra,dec,z,petroR50_r,deVAB_r,seeing_r,run,camcol,rerun,field,Zoo1,image
587736919969497278,241.2284,29.01275,0.0881016,3.731901,0.9863383,1.034222,3997,3,40,42,S,fpC-003997-r3-0042.fit.gz
587730021722358067,229.8113,4.494528,0.0328384,5.489309,0.9852897,1.459256,2391,2,40,152,S,fpC-002391-r2-0152.fit.gz
587731868560982200,182.575,54.41694,0.0502777,6.415258,0.9852598,1.322614,2821,2,40,193,S,fpC-002821-r2-0193.fit.gz
588017724942712856,197.2636,6.964639,0.045833,4.075958,0.9851776,1.156005,3841,3,41,216,S,fpC-003841-r3-0216.fit.gz
587738952025178166,187.66,37.579,0.09548,4.976132,0.9851482,1.279302,4470,4,40,31,S,fpC-004470-r4-0031.fit.gz
588015508738998333,14.7915,-0.3486389,0.0788343,4.273813,0.9846826,1.200651,3325,3,41,207,S,fpC-003325-r3-0207.fit.gz
587732771061563605,196.5315,9.492611,0.0540395,4.883109,0.9845641,1.349168,3031,3,40,507,S,fpC-003031-r3-0507.fit.gz
587739459371991121,219.6913,28.50544,0.0453331,12.27463,0.9842529,1.596879,4588,5,40,89,S,fpC-004588-r5-0089.fit.gz
587734623241109728,127.499,31.03553,0.0498678,8.951469,0.983856,1.235737,3462,5,40,124,S,fpC-003462-r5-0124.fit.gz
587727221409710192,351.0144,13.94794,0.0427667,3.592325,0.9837704,0.9871523,1739,2,40,244,S,fpC-001739-r2-0244.fit.gz
587739506623184973,200.6571,32.2443,0.0371494,5.086631,0.9837594,1.395656,4599,5,40,189,S,fpC-004599-r5-0189.fit.gz
588017977837682903,234.2479,27.90042,0.0723305,6.212261,0.9833455,1.255506,3900,2,41,655,S,fpC-003900-r2-0655.fit.gz
588023239672463533,141.5636,18.54919,0.0515959,6.481664,0.9833002,1.649058,5125,3,41,90,S,fpC-005125-r3-0090.fit.gz
587728920062329005,231.9115,56.9608,0.0711,7.895222,0.9830508,1.509599,2134,6,40,138,S,fpC-002134-r6-0138.fit.gz
588018089467314388,233.28,35.06042,0.0586274,6.871005,0.9824525,1.223678,3926,2,41,52,S,fpC-003926-r2-0052.fit.gz
587732156315533729,119.7087,25.74625,0.0424661,5.304936,0.9822136,1.298755,2888,2,40,67,S,fpC-002888-r2-0067.fit.gz
587725818568900622,225.7464,62.15417,0.0412006,3.804571,0.9822001,1.21132,1412,5,40,288,S,fpC-001412-r5-0288.fit.gz
587738196650557714,116.5178,50.54628,0.0381217,4.751037,0.9818011,1.107113,4294,5,40,73,S,fpC-004294-r5-0073.fit.gz
587741420563136693,128.4308,18.86997,0.0951295,6.262784,0.9816481,1.699505,5045,2,40,115,S,fpC-005045-r2-0115.fit.gz
587741489298604048,169.5695,28.26044,0.032736,9.37817,0.981635,1.169914,5061,2,40,359,S,fpC-005061-r2-0359.fit.gz
587739827133087888,227.054,20.46511,0.0427632,4.184493,0.9816288,1.309768,4674,2,40,158,S,fpC-004674-r2-0158.fit.gz
587739845394956404,244.1387,13.82719,0.0996118,4.466491,0.9813808,1.116288,4678,4,40,284,S,fpC-004678-r4-0284.fit.gz
587735349106704629,172.3937,15.10753,0.0802419,8.84516,0.9813756,0.9679613,3631,5,40,370,S,fpC-003631-r5-0370.fit.gz
588017625633587594,228.5768,34.97692,0.0905938,4.978823,0.9810809,1.146095,3818,2,41,399,S,fpC-003818-r2-0399.fit.gz
587735696451960908,217.3071,53.22278,0.0439268,7.289676,0.9807479,1.259748,3712,4,40,214,S,fpC-003712-r4-0214.fit.gz
587732703402721401,160.0242,7.567306,0.0308314,8.376836,0.9798635,1.215374,3015,5,40,307,S,fpC-003015-r5-0307.fit.gz
587736945740546366,252.0446,20.88325,0.0953154,4.708382,0.9795692,1.369837,4003,3,40,61,S,fpC-004003-r3-0061.fit.gz
587735347481804845,139.2346,9.824528,0.0740783,4.771795,0.9793087,1.164045,3631,2,40,152,S,fpC-003631-r2-0152.fit.gz
588018055127564631,249.5343,28.36869,0.0739275,4.765375,0.9791521,1.209353,3918,2,41,357,S,fpC-003918-r2-0357.fit.gz
587741726044586108,191.9128,24.79867,0.0848741,4.095924,0.9787238,1.080029,5116,3,40,144,S,fpC-005116-r3-0144.fit.gz
587739303143211089,184.7445,34.57275,0.0611219,5.370553,0.9785361,1.486557,4552,2,40,99,S,fpC-004552-r2-0099.fit.gz
587742572686475462,172.784,19.71269,0.0530788,5.02595,0.978404,1.090845,5313,4,40,90,S,fpC-005313-r4-0090.fit.gz
587736807766687942,212.246,12.61458,0.0594941,4.554579,0.9783569,1.179738,3971,2,40,91,S,fpC-003971-r2-0091.fit.gz
587738946674229508,157.6053,36.05964,0.0866026,4.554143,0.9782255,1.369314,4469,2,40,302,S,fpC-004469-r2-0302.fit.gz
587736915149324803,237.2111,8.858334,0.0645567,4.200234,0.9778848,0.991793,3996,2,40,220,S,fpC-003996-r2-0220.fit.gz
588017603614802039,198.2496,43.20436,0.0616978,5.077165,0.9774904,1.543293,3813,1,41,291,S,fpC-003813-r1-0291.fit.gz
587738574068973620,195.5096,39.91922,0.0338984,3.224565,0.9772022,0.988263,4382,4,40,45,S,fpC-004382-r4-0045.fit.gz
587736584979218754,248.6451,21.62086,0.031859,4.811391,0.9771308,1.281785,3919,3,40,304,S,fpC-003919-r3-0304.fit.gz
587731500263145568,168.7023,56.57817,0.0343514,7.365797,0.9770265,1.44574,2735,4,40,126,S,fpC-002735-r4-0126.fit.gz
587741600953598041,172.8389,26.29578,0.032977,8.505627,0.9767352,1.240369,5087,2,40,143,S,fpC-005087-r2-0143.fit.gz
588017724944351261,201.0395,6.907861,0.0406737,5.196039,0.9763024,1.334094,3841,3,41,241,S,fpC-003841-r3-0241.fit.gz
587739382594732112,209.5241,33.6635,0.0490107,5.547573,0.9763003,1.659746,4570,6,40,17,S,fpC-004570-r6-0017.fit.gz
587736620398215399,240.2258,28.4943,0.0453616,4.864068,0.9762838,1.295659,3927,5,40,83,S,fpC-003927-r5-0083.fit.gz
587739809422180402,234.6864,17.70347,0.0942034,5.964822,0.976066,1.266644,4670,1,40,247,S,fpC-004670-r1-0247.fit.gz
588017723874803893,210.7112,5.637833,0.0639438,4.702226,0.9760541,1.33731,3841,1,41,305,S,fpC-003841-r1-0305.fit.gz
587725471208636632,135.103,55.48722,0.0664439,4.250269,0.9758576,1.235091,1331,6,40,215,S,fpC-001331-r6-0215.fit.gz
587741815713759377,162.3009,22.43614,0.0489482,6.79102,0.9758509,1.113839,5137,2,40,323,S,fpC-005137-r2-0323.fit.gz
588017111290085466,164.6421,45.8125,0.0623872,5.973977,0.9758273,1.370414,3698,4,41,76,S,fpC-003698-r4-0076.fit.gz
587736542557700406,221.1645,8.285944,0.0625198,3.996299,0.9758216,1.092864,3909,4,40,171,S,fpC-003909-r4-0171.fit.gz
587745968928391434,242.0876,18.28564,0.0362529,5.38429,0.9756607,1.51549,6104,2,40,37,S,fpC-006104-r2-0037.fit.gz
587725039557410957,185.3609,-3.219778,0.0933798,6.170453,0.9754797,1.280726,1231,2,40,108,S,fpC-001231-r2-0108.fit.gz
588013381666996260,172.6675,50.61794,0.0580124,3.905799,0.975337,1.239969,2830,1,41,368,S,fpC-002830-r1-0368.fit.gz
587731870705319981,169.6651,55.17789,0.0309714,5.165286,0.9751757,1.166841,2821,6,40,145,S,fpC-002821-r6-0145.fit.gz
587732136986083437,146.9115,47.02719,0.086637,4.620566,0.9751317,1.369576,2883,6,40,35,S,fpC-002883-r6-0035.fit.gz
588017606288408696,163.938,44.17922,0.0374632,5.621005,0.9750188,1.274321,3813,6,41,127,S,fpC-003813-r6-0127.fit.gz
587735662618280101,138.0746,32.58539,0.0852351,3.837533,0.974966,1.155009,3704,5,40,49,S,fpC-003704-r5-0049.fit.gz
587725470128079182,120.5977,43.00375,0.0978207,4.029368,0.974835,1.156168,1331,4,40,111,S,fpC-001331-r4-0111.fit.gz
588010135731634376,143.8989,54.92708,0.048627,9.149852,0.9747723,1.428708,2074,3,41,157,S,fpC-002074-r3-0157.fit.gz
588017728691437614,192.022,6.985528,0.0448376,6.638235,0.9747667,1.526508,3842,2,41,73,S,fpC-003842-r2-0073.fit.gz
587736477591797902,219.0862,9.990778,0.0561379,5.952906,0.974359,1.162312,3894,3,40,102,S,fpC-003894-r3-0102.fit.gz
587731186725486807,325.0978,0.2547778,0.0337527,4.339326,0.9739262,1.077485,2662,4,40,49,S,fpC-002662-r4-0049.fit.gz
