photoobjId,ra,dec,petroR50_r,deVAB_r,seeing_r,run,rerun,camcol,field,Zoo1,image
587742010044252426,124.44918114,11.92636755,4.474905,0.4638569,1.435563,5182,40,4,67,U,fpC-005182-r4-0067.fit.gz
587742010044252437,124.45933842,11.94076206,1.754832,0.5268097,1.435563,5182,40,4,67,U,fpC-005182-r4-0067.fit.gz
587742575367487536,182.39022048,18.77245508,2.475772,0.5237834,0.9995488,5314,40,1,39,U,fpC-005314-r1-0039.fit.gz
587742010045366634,127.07871215,12.67939077,2.032484,0.7448041,1.380716,5182,40,4,84,U,fpC-005182-r4-0084.fit.gz
587742062149238865,191.17744594,22.92504196,2.115515,0.6439148,1.61406,5194,40,5,502,U,fpC-005194-r5-0502.fit.gz
587742611882639571,233.81663364,12.47229811,2.782931,0.6442109,1.200714,5322,40,5,160,U,fpC-005322-r5-0160.fit.gz
587742062159593649,216.49891102,20.08856573,2.264554,0.456302,1.269407,5194,40,5,660,U,fpC-005194-r5-0660.fit.gz
587742010045366647,127.08132778,12.69261246,3.747546,0.3252211,1.380716,5182,40,4,84,U,fpC-005182-r4-0084.fit.gz
587741816249516036,159.49366952,22.41667248,1.618429,0.5100366,1.037649,5137,40,3,306,U,fpC-005137-r3-0306.fit.gz
587742190971781305,166.97642593,24.49168119,3.541524,0.8101522,1.847716,5224,40,5,98,U,fpC-005224-r5-0098.fit.gz
587742611880149155,228.03137991,13.69806755,2.847723,0.5959086,1.094487,5322,40,5,122,U,fpC-005322-r5-0122.fit.gz
587741816251154448,163.49248916,23.12758549,3.472081,0.8887459,1.256757,5137,40,3,331,U,fpC-005137-r3-0331.fit.gz
587742062696726690,217.13346021,20.27011114,3.512228,0.7029296,1.591537,5194,40,6,664,U,fpC-005194-r6-0664.fit.gz
587741817313427519,136.1677893,17.59914218,1.125381,0.469256,1.210092,5137,40,5,156,U,fpC-005137-r5-0156.fit.gz
587741817313427521,136.1589588,17.58381857,1.475301,0.7418081,1.210092,5137,40,5,156,U,fpC-005137-r5-0156.fit.gz
587741720675483745,192.75271781,26.42789793,2.450692,0.9030158,1.224027,5115,40,1,138,U,fpC-005115-r1-0138.fit.gz
587741817313427661,136.18040784,17.57603366,1.975763,0.9070597,1.210092,5137,40,5,156,U,fpC-005137-r5-0156.fit.gz
587741815713759460,162.40678754,22.52305514,2.257363,0.7267807,1.113839,5137,40,2,323,U,fpC-005137-r2-0323.fit.gz
587741815713759465,162.41103575,22.53948135,1.125489,0.4879639,1.113839,5137,40,2,323,U,fpC-005137-r2-0323.fit.gz
587741708343115922,167.61534068,25.87759668,1.847426,0.9996781,1.174496,5112,40,2,377,U,fpC-005112-r2-0377.fit.gz
587741708343115925,167.63082352,25.84416487,1.984228,0.5154563,1.174496,5112,40,2,377,U,fpC-005112-r2-0377.fit.gz
587742014900011068,198.46509549,22.60761081,1.854932,0.3952391,1.161839,5183,40,5,432,U,fpC-005183-r5-0432.fit.gz
587741828049862662,173.26528411,23.6142439,1.023032,0.9448545,1.10002,5140,40,1,141,U,fpC-005140-r1-0141.fit.gz
587742550151463142,236.76764745,12.2224326,2.293441,0.8576974,1.018251,5308,40,2,297,U,fpC-005308-r2-0297.fit.gz
587742551217144012,218.50800949,17.1232161,5.369566,0.9395512,1.201462,5308,40,4,174,U,fpC-005308-r4-0174.fit.gz
587741828049862758,173.25797217,23.63516823,1.591345,0.8033395,1.10002,5140,40,1,141,U,fpC-005140-r1-0141.fit.gz
587742014902239362,203.93070263,22.20054301,1.463377,0.7840123,1.130553,5183,40,5,466,U,fpC-005183-r5-0466.fit.gz
587742014910824692,224.59677969,18.56243777,2.351794,0.9785185,1.115239,5183,40,5,597,U,fpC-005183-r5-0597.fit.gz
587742014910824718,224.61066936,18.55909772,1.332612,0.877526,1.115239,5183,40,5,597,U,fpC-005183-r5-0597.fit.gz
587741829123408062,172.80705735,24.48586736,1.341464,0.6558392,1.075256,5140,40,3,138,U,fpC-005140-r3-0138.fit.gz
587742015443763331,215.25841211,20.80277112,1.256809,0.5420527,1.216069,5183,40,6,537,U,fpC-005183-r6-0537.fit.gz
587742015443763332,215.25521328,20.80074985,2.285131,0.7906455,1.216069,5183,40,6,537,U,fpC-005183-r6-0537.fit.gz
